Years,Values
2012 OCT,76.1
2012 NOV,77.1
2012 DEC,80.2
2013 JAN,73.6
2013 FEB,74
2013 MAR,75.5
2013 APR,75.7
2013 MAY,76.4
2013 JUN,77.4
2013 JUL,78
2013 AUG,78.1
2013 SEP,78.5
2013 OCT,78.9
2013 NOV,80
2013 DEC,83.2
2014 JAN,77.2
2014 FEB,77.1
2014 MAR,77.8
2014 APR,79
2014 MAY,79.7
2014 JUN,80.5
2014 JUL,80.9
2014 AUG,81.1
2014 SEP,81.3
2014 OCT,81.7
2014 NOV,83.1
2014 DEC,86.1
2015 JAN,79.2
2015 FEB,79.3
2015 MAR,80.9
2015 APR,81.5
2015 MAY,82.2
2015 JUN,83
2015 JUL,83.4
2015 AUG,83.3
2015 SEP,83.5
2015 OCT,83.9
2015 NOV,85.3
2015 DEC,88.1
2016 JAN,81.1
2016 FEB,80.9
2016 MAR,81.7
2016 APR,82.3
2016 MAY,83.3
2016 JUN,83.9
2016 JUL,84.5
2016 AUG,84.7
2016 SEP,85
2016 OCT,85.6
2016 NOV,87
2016 DEC,90.2
2017 JAN,82.1
2017 FEB,82.4
2017 MAR,84
2017 APR,85.6
2017 MAY,86.4
2017 JUN,87.2
2017 JUL,87.9
2017 AUG,88.1
2017 SEP,88.3
2017 OCT,88.8
2017 NOV,90.4
2017 DEC,93.8
2018 JAN,84.8
2018 FEB,85.5
2018 MAR,87.4
2018 APR,88.1
2018 MAY,89.5
2018 JUN,90.6
2018 JUL,91.3
2018 AUG,91.4
2018 SEP,91.7
2018 OCT,92.1
2018 NOV,93.6
2018 DEC,96.9
2019 JAN,88.9
2019 FEB,89.3
2019 MAR,90.9
2019 APR,92.3
2019 MAY,93.1
2019 JUN,93.9
2019 JUL,94.6
2019 AUG,94.7
2019 SEP,94.8
2019 OCT,95.3
2019 NOV,96.7
2019 DEC,100
2020 JAN,91.7
2020 FEB,91.4
2020 MAR,92.1
2020 APR,89.4
2020 MAY,89.2
2020 JUN,90.7
2020 JUL,91.8
2020 AUG,92.5
2020 SEP,93.3
2020 OCT,94.4
2020 NOV,96.2
2020 DEC,99.2
2021 JAN,87.3
2021 FEB,88.4
2021 MAR,92.3
2021 APR,94.9
2021 MAY,96.7
2021 JUN,98.6
2021 JUL,99.3
2021 AUG,99.6
2021 SEP,99.8
2021 OCT,100.5
2021 NOV,102.4
2021 DEC,105.3
2022 JAN,96.1
2022 FEB,97.1
2022 MAR,99.3
2022 APR,101
2022 MAY,102.1
2022 JUN,103.5
2022 JUL,104.5
2022 AUG,104.7
2022 SEP,104.9
2022 OCT,105.6
2022 NOV,107.6
2022 DEC,111.1
2023 JAN,102.3
2023 FEB,104
2023 MAR,106.3
2023 APR,107.9
2023 MAY,109.2
2023 JUN,110.5
2023 JUL,111
2023 AUG,111
2023 SEP,110.9
2023 OCT,111.3
